CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_enter_shadowfang_keep;Enter Shadowfang Keep;Entrer dans Shadowfang Keep;Shadowfang Keep betreten;;Entrar en Shadowfang Keep;;;;;;;;;x
hoa_enter_shadowfang_keep_desc;Lead an expedition into Shadowfang Keep in Silverpine Forest to face its cursed inhabitants.;Mener une expedition dans Shadowfang Keep en foret de Pins-Argentes pour affronter ses habitants maudits.;Eine Expedition in Shadowfang Keep fuhren.;;Liderar una expedicion a Shadowfang Keep.;;;;;;;;;x
hoa_enter_scarlet_monastery;Enter Scarlet Monastery;Entrer au Monastere Ecarlate;Scharlachrotes Kloster betreten;;Entrar al Monasterio Escarlata;;;;;;;;;x
hoa_enter_scarlet_monastery_desc;Storm the Scarlet Monastery in Tirisfal Glades. The Scarlet Crusade's fanatics await.;Prendre d'assaut le Monastere Ecarlate dans les Clairires de Tirisfal. Les fanatiques de la Croisade Ecarlate attendent.;Das Scharlachrote Kloster sturmen.;;Asaltar el Monasterio Escarlata.;;;;;;;;;x
hoa_enter_gnomeregan;Enter Gnomeregan;Entrer dans Gnomeregan;Gnomeregan betreten;;Entrar en Gnomeregan;;;;;;;;;x
hoa_enter_gnomeregan_desc;Descend into the irradiated halls of Gnomeregan to face Mekgineer Thermaplugg.;Descendre dans les salles irradiees de Gnomeregan pour affronter Mekgineur Thermaplugg.;In die verstrahlten Hallen von Gnomeregan hinabsteigen.;;Descender a las salas irradiadas de Gnomeregan.;;;;;;;;;x
hoa_enter_maraudon;Enter Maraudon;Entrer dans Maraudon;Maraudon betreten;;Entrar en Maraudon;;;;;;;;;x
hoa_enter_maraudon_desc;Explore the sacred caverns of Maraudon in Desolace to face Princess Theradras.;Explorer les cavernes sacrees de Maraudon en Desolace pour affronter la Princesse Theradras.;Die heiligen Hohlen von Maraudon erkunden.;;Explorar las cavernas sagradas de Maraudon.;;;;;;;;;x
hoa_enter_dire_maul;Enter Dire Maul;Entrer dans Hache-Tripes;Dusterbruch betreten;;Entrar en Dire Maul;;;;;;;;;x
hoa_enter_dire_maul_desc;Venture into the ancient Highborne ruins of Dire Maul in Feralas.;S'aventurer dans les ruines antiques des Bien-Nes de Hache-Tripes a Feralas.;Die alten Ruinen von Dusterbruch erkunden.;;Aventurarse en las ruinas de Dire Maul.;;;;;;;;;x
hoa_enter_stratholme;Enter Stratholme;Entrer dans Stratholme;Stratholme betreten;;Entrar en Stratholme;;;;;;;;;x
hoa_enter_stratholme_desc;Brave the undead-infested streets of Stratholme to face Baron Rivendare.;Affronter les rues infestees de morts-vivants de Stratholme pour defier le Baron Vaillefendre.;Die untoten Strassen von Stratholme betreten.;;Desafiar las calles de Stratholme.;;;;;;;;;x
hoa_enter_scholomance;Enter Scholomance;Entrer dans la Scholomance;Scholomance betreten;;Entrar en Scholomance;;;;;;;;;x
hoa_enter_scholomance_desc;Infiltrate the necromancy school of Scholomance on Caer Darrow island.;Infiltrer l'ecole de necromancie de Scholomance sur l'ile de Caer Darrow.;Die Nekromantieschule Scholomance infiltrieren.;;Infiltrar la escuela de nigromancia.;;;;;;;;;x
hoa_enter_upper_blackrock;Enter Upper Blackrock Spire;Entrer dans le Pic Blackrock Superieur;Obere Blackrock Spitze betreten;;Entrar en Cumbre de Roca Negra Superior;;;;;;;;;x
hoa_enter_upper_blackrock_desc;Assault the Upper Blackrock Spire to face Warchief Rend Blackhand.;Assaut du Pic Blackrock Superieur pour affronter le Chef de Guerre Rend Main-Noire.;Die Obere Blackrock Spitze sturmen.;;Asaltar la Cumbre Superior de Roca Negra.;;;;;;;;;x
hoa_enter_zulgurub;Enter Zul'Gurub;Entrer dans Zul'Gurub;Zul'Gurub betreten;;Entrar en Zul'Gurub;;;;;;;;;x
hoa_enter_zulgurub_desc;Lead a warband into the ancient troll city of Zul'Gurub to face Hakkar the Soulflayer.;Mener une bande de guerre dans l'ancienne cite troll de Zul'Gurub pour affronter Hakkar l'Ecorcheur d'Ames.;Eine Kriegsgruppe nach Zul'Gurub fuhren.;;Liderar un grupo de guerra a Zul'Gurub.;;;;;;;;;x
hoa_enter_molten_core;Enter the Molten Core;Entrer dans le Coeur du Magma;Den Geschmolzenen Kern betreten;;Entrar al Nucleo de Magma;;;;;;;;;x
hoa_enter_molten_core_desc;Lead a massive expedition into the Molten Core beneath Blackrock Mountain to face Ragnaros the Firelord. This is extremely dangerous.;Mener une expedition massive dans le Coeur du Magma sous la Montagne Blackrock pour affronter Ragnaros le Seigneur du Feu. Extremement dangereux.;Eine massive Expedition in den Geschmolzenen Kern fuhren. Extrem gefahrlich.;;Liderar una expedicion masiva al Nucleo de Magma. Extremadamente peligroso.;;;;;;;;;x
hoa_enter_blackwing_lair;Enter Blackwing Lair;Entrer dans le Repaire de l'Aile Noire;Pechschwingenhort betreten;;Entrar en la Guarida Alanegra;;;;;;;;;x
hoa_enter_blackwing_lair_desc;Only those who have defeated Ragnaros may challenge Nefarian in his lair. The black dragonflight awaits.;Seuls ceux qui ont vaincu Ragnaros peuvent defier Nefarian dans son repaire. Le vol draconique noir attend.;Nur wer Ragnaros bezwungen hat darf Nefarian herausfordern.;;Solo quienes derrotaron a Ragnaros pueden desafiar a Nefarian.;;;;;;;;;x
hoa_enter_ahnqiraj;Enter the Temple of Ahn'Qiraj;Entrer dans le Temple d'Ahn'Qiraj;Den Tempel von Ahn'Qiraj betreten;;Entrar al Templo de Ahn'Qiraj;;;;;;;;;x
hoa_enter_ahnqiraj_desc;Behind the Gates of Ahn'Qiraj lies C'Thun, an Old God of unfathomable power. This may be suicide.;Derriere les Portes d'Ahn'Qiraj se cache C'Thun, un Dieu Tres Ancien d'une puissance insondable. C'est peut-etre du suicide.;Hinter den Toren von Ahn'Qiraj lauert C'Thun. Dies konnte Selbstmord sein.;;Detras de las Puertas de Ahn'Qiraj se esconde C'Thun. Esto podria ser suicidio.;;;;;;;;;x
hoa_enter_naxxramas;Enter Naxxramas;Entrer dans Naxxramas;Naxxramas betreten;;Entrar en Naxxramas;;;;;;;;;x
