CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_walk_the_streets;Walk the Streets;Se promener dans les rues;Durch die Strassen gehen;;Caminar por las calles;;;;;;;;;x
hoa_walk_the_streets_desc;Walk through the streets of your capital to see and be seen by your people.;Se promener dans les rues de votre capitale pour voir et etre vu par votre peuple.;Durch die Strassen Ihrer Hauptstadt gehen.;;Caminar por las calles de tu capital.;;;;;;;;;x
hoa_visit_tavern;Visit the Tavern;Visiter la Taverne;Die Taverne besuchen;;Visitar la Taberna;;;;;;;;;x
hoa_visit_tavern_desc;Spend an evening at the local tavern. Drink, gamble, and hear the latest rumors.;Passer une soiree a la taverne locale. Boire, jouer et ecouter les dernieres rumeurs.;Einen Abend in der Taverne verbringen.;;Pasar una noche en la taberna local.;;;;;;;;;x
hoa_grand_feast;Host a Grand Feast;Organiser un Grand Festin;Ein grosses Fest veranstalten;;Organizar un Gran Festin;;;;;;;;;x
hoa_grand_feast_desc;Host a grand feast for your vassals and courtiers. Strengthen bonds and enjoy your wealth.;Organiser un grand festin pour vos vassaux et courtisans. Renforcer les liens et profiter de votre richesse.;Ein grosses Fest fur Vasallen veranstalten.;;Organizar un gran festin para tus vasallos.;;;;;;;;;x
hoa_diplomatic_tour;Go on Diplomatic Tour;Partir en Tournee Diplomatique;Diplomatische Reise unternehmen;;Hacer una Gira Diplomatica;;;;;;;;;x
hoa_diplomatic_tour_desc;Travel to neighboring realms to strengthen alliances and improve relations.;Voyager dans les royaumes voisins pour renforcer les alliances et ameliorer les relations.;Zu benachbarten Reichen reisen.;;Viajar a reinos vecinos para fortalecer alianzas.;;;;;;;;;x
hoa_commission_monument;Commission a Grand Monument;Commander un Grand Monument;Ein grosses Denkmal errichten;;Encargar un Gran Monumento;;;;;;;;;x
hoa_commission_monument_desc;Commission a grand monument in your capital to immortalize your achievements.;Commander un grand monument dans votre capitale pour immortaliser vos exploits.;Ein grosses Denkmal in Ihrer Hauptstadt errichten.;;Encargar un monumento en tu capital.;;;;;;;;;x
hoa_train_with_champions;Train with Champions;S'entrainer avec les Champions;Mit Champions trainieren;;Entrenar con Campeones;;;;;;;;;x
hoa_train_with_champions_desc;Spar with your best warriors and mages to hone your combat skills.;S'entrainer avec vos meilleurs guerriers et mages pour affiner vos competences de combat.;Mit den besten Kriegern trainieren.;;Entrenar con tus mejores guerreros.;;;;;;;;;x
hoa_establish_trade_company;Establish Trade Company;Fonder une Compagnie Commerciale;Handelsgesellschaft grunden;;Fundar Compania Comercial;;;;;;;;;x
hoa_establish_trade_company_desc;Invest in a trade company that will generate ongoing wealth. Requires a keen business mind.;Investir dans une compagnie commerciale qui generera des revenus continus. Necessite un esprit d'affaires.;In eine Handelsgesellschaft investieren.;;Invertir en una compania comercial.;;;;;;;;;x
hoa_establish_magical_enterprise;Establish Magical Enterprise;Fonder une Entreprise Magique;Magisches Unternehmen grunden;;Fundar Empresa Magica;;;;;;;;;x
hoa_establish_magical_enterprise_desc;Create a magical enterprise that combines arcane knowledge with commerce. Enchanting, alchemy, and inscription.;Creer une entreprise magique qui combine connaissance arcanique et commerce. Enchantement, alchimie et calligraphie.;Ein magisches Unternehmen grunden.;;Crear una empresa magica.;;;;;;;;;x
