#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
hoa_send_gift_small;Send Small Gift (25 Gold);Envoyer un Petit Cadeau (25 Or);Kleines Geschenk senden (25 Gold);;Enviar Regalo Pequeno (25 Oro);;;;;;;;;x
hoa_send_gift_small_desc;Send a modest gift of 25 gold to improve relations. A small token of goodwill.;Envoyez un modeste cadeau de 25 pieces d'or pour ameliorer les relations.;Sendet ein bescheidenes Geschenk von 25 Gold, um die Beziehungen zu verbessern.;;Envia un modesto regalo de 25 de oro para mejorar relaciones.;;;;;;;;;x
hoa_send_gift_moderate;Send Moderate Gift (50 Gold);Envoyer un Cadeau Modere (50 Or);Moderates Geschenk senden (50 Gold);;Enviar Regalo Moderado (50 Oro);;;;;;;;;x
hoa_send_gift_moderate_desc;Send a gift of 50 gold. A respectable offering that shows genuine interest.;Envoyez un cadeau de 50 pieces d'or. Une offrande respectable.;Sendet ein Geschenk von 50 Gold. Ein respektables Angebot.;;Envia un regalo de 50 de oro. Una ofrenda respetable.;;;;;;;;;x
hoa_send_gift_generous;Send Generous Gift (100 Gold);Envoyer un Cadeau Genereux (100 Or);Grosszugiges Geschenk senden (100 Gold);;Enviar Regalo Generoso (100 Oro);;;;;;;;;x
hoa_send_gift_generous_desc;Send a generous gift of 100 gold. This lavish gesture will significantly improve relations.;Envoyez un cadeau genereux de 100 pieces d'or. Ce geste ameliorera significativement les relations.;Sendet ein grosszugiges Geschenk von 100 Gold.;;Envia un generoso regalo de 100 de oro.;;;;;;;;;x
hoa_send_gift_royal;Send Royal Gift (250 Gold);Envoyer un Cadeau Royal (250 Or);Konigliches Geschenk senden (250 Gold);;Enviar Regalo Real (250 Oro);;;;;;;;;x
hoa_send_gift_royal_desc;Send a royal gift of 250 gold to a fellow ruler. A magnificent gesture of diplomacy that brings prestige to both parties.;Envoyez un cadeau royal de 250 pieces d'or. Un geste diplomatique magnifique.;Sendet ein konigliches Geschenk von 250 Gold an einen Herrscher.;;Envia un regalo real de 250 de oro a otro gobernante.;;;;;;;;;x
hoa_send_gift_legendary;Send Legendary Gift (500 Gold);Envoyer un Cadeau Legendaire (500 Or);Legendares Geschenk senden (500 Gold);;Enviar Regalo Legendario (500 Oro);;;;;;;;;x
hoa_send_gift_legendary_desc;Send an extraordinary gift of 500 gold. An offering fit for kings that will be remembered for generations.;Envoyez un cadeau extraordinaire de 500 pieces d'or. Une offrande digne des rois.;Sendet ein aussergewohnliches Geschenk von 500 Gold.;;Envia un regalo extraordinario de 500 de oro.;;;;;;;;;x
hoa_gift.1.title;Gift Sent;Cadeau Envoye;Geschenk gesendet;;Regalo Enviado;;;;;;;;;x
hoa_gift.1.desc;You have sent a small gift of 25 gold. A modest but appreciated gesture.;Vous avez envoye un petit cadeau de 25 pieces d'or. Un geste modeste mais apprecie.;Ihr habt ein kleines Geschenk von 25 Gold gesendet.;;Has enviado un pequeno regalo de 25 de oro.;;;;;;;;;x
hoa_gift.1.a;A token of friendship.;Un signe d'amitie.;Ein Zeichen der Freundschaft.;;Un gesto de amistad.;;;;;;;;;x
hoa_gift.2.title;Gift Sent;Cadeau Envoye;Geschenk gesendet;;Regalo Enviado;;;;;;;;;x
hoa_gift.2.desc;You have sent a gift of 50 gold. A respectable offering.;Vous avez envoye un cadeau de 50 pieces d'or. Une offrande respectable.;Ihr habt ein Geschenk von 50 Gold gesendet.;;Has enviado un regalo de 50 de oro.;;;;;;;;;x
hoa_gift.2.a;May it serve them well.;Puisse-t-il bien les servir.;Moge es ihnen gut dienen.;;Que les sirva bien.;;;;;;;;;x
hoa_gift.3.title;Generous Gift Sent;Cadeau Genereux Envoye;Grosszugiges Geschenk gesendet;;Regalo Generoso Enviado;;;;;;;;;x
hoa_gift.3.desc;You have sent a generous gift of 100 gold. Such generosity will not be forgotten.;Vous avez envoye un cadeau genereux de 100 pieces d'or. Telle generosite ne sera pas oubliee.;Ihr habt ein grosszugiges Geschenk von 100 Gold gesendet.;;Has enviado un generoso regalo de 100 de oro.;;;;;;;;;x
hoa_gift.3.a;Generosity is its own reward.;La generosite est sa propre recompense.;Grosszugigkeit ist ihre eigene Belohnung.;;La generosidad es su propia recompensa.;;;;;;;;;x
hoa_gift.4.title;Royal Gift Sent;Cadeau Royal Envoye;Konigliches Geschenk gesendet;;Regalo Real Enviado;;;;;;;;;x
hoa_gift.4.desc;You have sent a magnificent royal gift of 250 gold. This act of extraordinary generosity brings prestige to your name.;Vous avez envoye un magnifique cadeau royal de 250 pieces d'or. Cet acte de generosite extraordinaire apporte du prestige.;Ihr habt ein prachtiges konigliches Geschenk von 250 Gold gesendet.;;Has enviado un magnifico regalo real de 250 de oro.;;;;;;;;;x
hoa_gift.4.a;A gesture worthy of kings.;Un geste digne des rois.;Eine Geste, die eines Konigs wurdig ist.;;Un gesto digno de reyes.;;;;;;;;;x
hoa_gift.5.title;Legendary Gift Sent;Cadeau Legendaire Envoye;Legendares Geschenk gesendet;;Regalo Legendario Enviado;;;;;;;;;x
hoa_gift.5.desc;You have sent an extraordinary gift of 500 gold! This legendary act of generosity will echo through history.;Vous avez envoye un cadeau extraordinaire de 500 pieces d'or! Cet acte de generosite legendaire marquera l'histoire.;Ihr habt ein aussergewohnliches Geschenk von 500 Gold gesendet!;;Has enviado un extraordinario regalo de 500 de oro!;;;;;;;;;x
hoa_gift.5.a;Let this be remembered for ages.;Que cela soit rappele a travers les ages.;Moge dies fur immer in Erinnerung bleiben.;;Que esto sea recordado por generaciones.;;;;;;;;;x
hoa_gift.10.title;Gift Received;Cadeau Recu;Geschenk erhalten;;Regalo Recibido;;;;;;;;;x
hoa_gift.10.desc;A gift has been delivered to you from a generous benefactor.;Un cadeau vous a ete remis par un genereux bienfaiteur.;Ein Geschenk wurde Euch von einem grosszugigen Gonner uberreicht.;;Se te ha entregado un regalo de un generoso benefactor.;;;;;;;;;x
hoa_gift.10.a;How generous!;Quelle generosite!;Wie grosszugig!;;Que generosidad!;;;;;;;;;x
hoa_gift_small_sent_tooltip;Sent 25 gold. Opinion improved by +10.;Envoye 25 or. Opinion amelioree de +10.;25 Gold gesendet. Meinung um +10 verbessert.;;Enviado 25 oro. Opinion mejorada en +10.;;;;;;;;;x
hoa_gift_moderate_sent_tooltip;Sent 50 gold. Opinion improved by +20.;Envoye 50 or. Opinion amelioree de +20.;50 Gold gesendet. Meinung um +20 verbessert.;;Enviado 50 oro. Opinion mejorada en +20.;;;;;;;;;x
hoa_gift_generous_sent_tooltip;Sent 100 gold. Opinion improved by +30.;Envoye 100 or. Opinion amelioree de +30.;100 Gold gesendet. Meinung um +30 verbessert.;;Enviado 100 oro. Opinion mejorada en +30.;;;;;;;;;x
hoa_gift_royal_sent_tooltip;Sent 250 gold. Opinion improved by +50. Prestige gained.;Envoye 250 or. Opinion amelioree de +50. Prestige gagne.;250 Gold gesendet. Meinung um +50 verbessert. Prestige gewonnen.;;Enviado 250 oro. Opinion mejorada en +50. Prestigio ganado.;;;;;;;;;x
hoa_gift_legendary_sent_tooltip;Sent 500 gold! Opinion improved by +75! Prestige gained.;Envoye 500 or! Opinion amelioree de +75! Prestige gagne.;500 Gold gesendet! Meinung um +75 verbessert! Prestige gewonnen.;;Enviado 500 oro! Opinion mejorada en +75! Prestigio ganado.;;;;;;;;;x
hoa_gift_received_tooltip;A generous gift has been received.;Un cadeau genereux a ete recu.;Ein grosszugiges Geschenk wurde empfangen.;;Un generoso regalo ha sido recibido.;;;;;;;;;x
hoa_found_secret_society;Found a Secret Society;Fonder une Societe Secrete;Geheimgesellschaft grunden;;Fundar una Sociedad Secreta;;;;;;;;;x
hoa_found_secret_society_desc;Establish a clandestine organization to further your ambitions through the shadows. Requires 200 gold and 100 prestige.;Etablissez une organisation clandestine pour servir vos ambitions dans l'ombre. Necessite 200 or et 100 prestige.;Grundet eine geheime Organisation, um eure Ambitionen im Verborgenen voranzutreiben.;;Establece una organizacion clandestina para avanzar tus ambiciones desde las sombras.;;;;;;;;;x
hoa_society_recruit;Recruit Society Member;Recruter un Membre;Mitglied rekrutieren;;Reclutar Miembro;;;;;;;;;x
hoa_society_recruit_desc;Seek out a suitable courtier to join your secret society.;Cherchez un courtisan adequat pour rejoindre votre societe secrete.;Sucht einen geeigneten Hoefling fuer eure Geheimgesellschaft.;;Busca un cortesano adecuado para unirse a tu sociedad secreta.;;;;;;;;;x
hoa_society_shadow_op;Conduct Shadow Operation;Mener une Operation Secrete;Schattenoperation durchfuhren;;Realizar Operacion en las Sombras;;;;;;;;;x
hoa_society_shadow_op_desc;Use your society's network to conduct a covert operation against rivals. Success depends on intrigue and member strength.;Utilisez le reseau de votre societe pour mener une operation secrete contre vos rivaux.;Nutzt das Netzwerk eurer Gesellschaft fur eine verdeckte Operation.;;Usa la red de tu sociedad para una operacion encubierta contra rivales.;;;;;;;;;x
hoa_society_disband;Disband Secret Society;Dissoudre la Societe Secrete;Geheimgesellschaft auflosen;;Disolver la Sociedad Secreta;;;;;;;;;x
hoa_society_disband_desc;Dissolve your secret society. Former members will be unhappy.;Dissolvez votre societe secrete. Les anciens membres seront mecontents.;Lost eure Geheimgesellschaft auf. Ehemalige Mitglieder werden unzufrieden sein.;;Disuelve tu sociedad secreta. Los antiguos miembros estaran descontentos.;;;;;;;;;x
hoa_society_recruit_target;Recruit into Society;Recruter dans la Societe;In die Gesellschaft rekrutieren;;Reclutar en la Sociedad;;;;;;;;;x
hoa_society_recruit_target_desc;Attempt to recruit this courtier into your secret society. Success depends on their personality and your intrigue.;Tentez de recruter ce courtisan dans votre societe secrete.;Versucht, diesen Hoefling in eure Geheimgesellschaft aufzunehmen.;;Intenta reclutar a este cortesano en tu sociedad secreta.;;;;;;;;;x
hoa_found_society_tooltip;You have founded a secret society! Choose its purpose and begin recruiting members.;Vous avez fonde une societe secrete! Choisissez son but et commencez a recruter.;Ihr habt eine Geheimgesellschaft gegrundet!;;Has fundado una sociedad secreta!;;;;;;;;;x
hoa_recruit_member_tooltip;Your agents are seeking a suitable recruit. Results in 30 days.;Vos agents cherchent une recrue appropriee. Resultats dans 30 jours.;Eure Agenten suchen eine geeignete Rekrut. Ergebnisse in 30 Tagen.;;Tus agentes buscan un recluta adecuado. Resultados en 30 dias.;;;;;;;;;x
